description,crime_code,weapon,source_file_uri
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY - COMMERCIAL,120,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
INTIMIDATION,13C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
RAPE,11A,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY,23D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
FRAUD,26D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY,120,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
STOLEN PROPERTY,280,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,MOTOR_VEHICLE_VESSEL,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
FRAUD,26A,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,FIREARM,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY,120,FIREARM,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
FRAUD,26B,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,FIREARM,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
FRAUD,250,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
KIDNAPPING,100,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,FIREARM,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
ROBBERY,120,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
FRAUD,26B,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,BLUNT_OBJECT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
ROBBERY,120,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY - CARJACKING,120,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
ROBBERY - COMMERCIAL,120,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
RAPE,11A,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
