iucr,description,fbi_code,primary_type,row_count
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,263832
0820,$500 AND UNDER,06,THEFT,256571
0810,OVER $500,06,THEFT,184981
0460,SIMPLE,08B,BATTERY,180181
1320,TO VEHICLE,14,CRIMINAL DAMAGE,163731
0560,SIMPLE,08A,ASSAULT,156906
1310,TO PROPERTY,14,CRIMINAL DAMAGE,152547
0910,AUTOMOBILE,07,MOTOR VEHICLE THEFT,137615
0860,RETAIL THEFT,06,THEFT,115547
0890,FROM BUILDING,06,THEFT,86546
0610,FORCIBLE ENTRY,05,BURGLARY,71337
1153,FINANCIAL IDENTITY THEFT OVER $ 300,11,DECEPTIVE PRACTICE,54389
2820,TELEPHONE THREAT,08A,OTHER OFFENSE,44730
0620,UNLAWFUL ENTRY,05,BURGLARY,40951
1330,TO LAND,26,CRIMINAL TRESPASS,39518
1150,CREDIT CARD FRAUD,11,DECEPTIVE PRACTICE,36354
2825,HARASSMENT BY TELEPHONE,26,OTHER OFFENSE,31965
1811,POSS: CANNABIS 30GMS OR LESS,18,NARCOTICS,30834
143A,UNLAWFUL POSSESSION - HANDGUN,15,WEAPONS VIOLATION,29773
2826,HARASSMENT BY ELECTRONIC MEANS,26,OTHER OFFENSE,29700
1130,FRAUD OR CONFIDENCE GAME,11,DECEPTIVE PRACTICE,26209
051A,AGGRAVATED - HANDGUN,04A,ASSAULT,26008
1154,FINANCIAL IDENTITY THEFT $300 AND UNDER,11,DECEPTIVE PRACTICE,24819
031A,ARMED: HANDGUN,03,ROBBERY,22480
4387,VIOLATE ORDER OF PROTECTION,26,OTHER OFFENSE,20953
0320,STRONGARM - NO WEAPON,03,ROBBERY,20095
0870,POCKET-PICKING,06,THEFT,20091
031A,ARMED - HANDGUN,03,ROBBERY,20088
143A,UNLAWFUL POSS OF HANDGUN,15,WEAPONS VIOLATION,19108
2024,POSS: HEROIN(WHITE),18,NARCOTICS,18607
1152,ILLEGAL USE CASH CARD,11,DECEPTIVE PRACTICE,15402
051A,AGGRAVATED: HANDGUN,04A,ASSAULT,15260
1477,RECKLESS FIREARM DISCHARGE,15,WEAPONS VIOLATION,14606
1365,TO RESIDENCE,26,CRIMINAL TRESPASS,14492
0920,ATTEMPT - AUTOMOBILE,07,MOTOR VEHICLE THEFT,13874
5002,OTHER VEHICLE OFFENSE,26,OTHER OFFENSE,13364
041A,AGGRAVATED - HANDGUN,04B,BATTERY,13205
0320,STRONG ARM - NO WEAPON,03,ROBBERY,12082
0430,AGGRAVATED: OTHER DANG WEAPON,04B,BATTERY,11352
0470,RECKLESS CONDUCT,24,PUBLIC PEACE VIOLATION,10812
0430,AGGRAVATED - OTHER DANGEROUS WEAPON,04B,BATTERY,10599
